Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Loss of Smell,Joint Pain,Muscle Pain,Chest Pain,Sore Throat,High Blood Pressure,Swollen Lymph Nodes,Strep Throat
Sore Throat,Vomiting,Abdominal Pain,Rash,Chest Pain,Confusion,Sweating,Strep Throat
Swollen Lymph Nodes,Blurred Vision,Cough,Confusion,Sweating,Vomiting,Rash,Meningitis
Loss of Smell,Loss of Appetite,Blurred Vision,Sweating,Chills,High Blood Pressure,Rapid Heart Rate,Hypotension
Difficulty Swallowing,Headache,Low Blood Pressure,Skin Redness,Skin Peeling,Runny Nose,Vomiting,Scarlet Fever
Nausea,Cough,Diarrhea,Chest Pain,Runny Nose,Confusion,Sore Throat,Meningitis
Sweating,Low Blood Pressure,Difficulty Swallowing,Cough,Rapid Heart Rate,Skin Redness,Chest Pain,Unknown
Confusion,High Blood Pressure,Dizziness,Diarrhea,Skin Redness,Sore Throat,Skin Peeling,Meningitis
Shortness of Breath,Loss of Appetite,Joint Pain,Muscle Pain,Low Blood Pressure,Rapid Heart Rate,Sweating,Unknown
Rash,Diarrhea,Vomiting,Dizziness,High Blood Pressure,Headache,Ear Pain,Malaria
Blurred Vision,Shortness of Breath,Loss of Smell,Diarrhea,Difficulty Swallowing,Swollen Lymph Nodes,Sweating,Strep Throat
Sore Throat,Headache,Chest Pain,Blurred Vision,High Blood Pressure,Cough,Fever,Dengue
Diarrhea,Runny Nose,Fever,Headache,Rapid Heart Rate,Shortness of Breath,Confusion,Food Poisoning
Joint Pain,Skin Redness,Headache,Weakness,Loss of Taste,Nausea,Fever,Unknown
Vomiting,Nausea,Chest Pain,Blurred Vision,Low Blood Pressure,Shortness of Breath,Fatigue,Meningitis
Nausea,Loss of Taste,Chest Pain,Loss of Smell,Cough,Fever,Confusion,Meningitis
Cough,Vomiting,Diarrhea,Runny Nose,Loss of Appetite,Ear Pain,Confusion,Unknown
Swollen Lymph Nodes,Shortness of Breath,Rapid Heart Rate,Sweating,High Blood Pressure,Joint Pain,Confusion,COVID-19
Headache,Dizziness,Runny Nose,Confusion,Low Blood Pressure,High Blood Pressure,Chest Pain,Unknown
Abdominal Pain,Rash,Chills,Diarrhea,Weakness,Loss of Taste,Skin Redness,Unknown
Skin Peeling,Blurred Vision,Cough,Headache,Swollen Lymph Nodes,Low Blood Pressure,Sweating,COVID-19
Low Blood Pressure,Confusion,Sweating,Fatigue,Diarrhea,Cough,Weakness,Malaria
Confusion,Loss of Appetite,Rapid Heart Rate,Loss of Smell,Chills,Loss of Taste,Skin Peeling,Malaria
Dizziness,Joint Pain,Chest Pain,Muscle Pain,Shortness of Breath,Sweating,Abdominal Pain,Dengue
Vomiting,Loss of Smell,Rash,Nausea,Swollen Lymph Nodes,Fever,Rapid Heart Rate,Flu
Cough,Low Blood Pressure,Rapid Heart Rate,Sore Throat,Headache,Abdominal Pain,Weakness,Malaria
Confusion,Loss of Taste,Dizziness,Shortness of Breath,Sore Throat,Nausea,Cough,Pneumonia
Blurred Vision,Skin Peeling,Sweating,Low Blood Pressure,Diarrhea,Sore Throat,Fatigue,Unknown
Fever,Skin Redness,Loss of Appetite,Muscle Pain,Runny Nose,Blurred Vision,Sore Throat,Malaria
Ear Pain,Swollen Lymph Nodes,Fatigue,Confusion,Vomiting,Muscle Pain,Chills,Hypertension
Skin Redness,Chills,Muscle Pain,Joint Pain,Nausea,Ear Pain,Abdominal Pain,Unknown
Ear Pain,Vomiting,High Blood Pressure,Nausea,Loss of Smell,Shortness of Breath,Confusion,Migraine
Fatigue,Runny Nose,Cough,Confusion,Ear Pain,Loss of Smell,Diarrhea,Unknown
Loss of Smell,Fatigue,Sweating,Sore Throat,Dizziness,Loss of Taste,Diarrhea,Food Poisoning
Loss of Appetite,Rapid Heart Rate,Fatigue,Chills,Headache,Sore Throat,Difficulty Swallowing,Flu
Runny Nose,High Blood Pressure,Muscle Pain,Ear Pain,Low Blood Pressure,Dizziness,Swollen Lymph Nodes,Strep Throat
Ear Pain,Fatigue,Skin Peeling,Headache,Difficulty Swallowing,Weakness,Shortness of Breath,Strep Throat
Muscle Pain,Sore Throat,Joint Pain,Dizziness,Shortness of Breath,Headache,Weakness,Strep Throat
Low Blood Pressure,Runny Nose,High Blood Pressure,Abdominal Pain,Chest Pain,Headache,Fatigue,Pneumonia
Weakness,Vomiting,Cough,Dizziness,Blurred Vision,Joint Pain,Headache,Dengue
Rapid Heart Rate,Skin Peeling,Blurred Vision,Confusion,Chills,Difficulty Swallowing,Sore Throat,Cold
Skin Peeling,High Blood Pressure,Abdominal Pain,Confusion,Runny Nose,Sore Throat,Sweating,Typhoid
Rash,Loss of Appetite,Chills,Weakness,Blurred Vision,Confusion,Fatigue,Food Poisoning
Abdominal Pain,Fever,Headache,Skin Peeling,Confusion,Sore Throat,Dizziness,Typhoid
Skin Peeling,Diarrhea,Vomiting,Fatigue,High Blood Pressure,Joint Pain,Dizziness,Hypertension
Difficulty Swallowing,Sweating,Ear Pain,Blurred Vision,Nausea,Dizziness,Loss of Appetite,Hypotension
Chills,Vomiting,Dizziness,Blurred Vision,Nausea,Chest Pain,Runny Nose,Cold
Nausea,Blurred Vision,Skin Redness,Runny Nose,Chills,Confusion,Loss of Taste,Unknown
Rash,Low Blood Pressure,Weakness,Difficulty Swallowing,Chills,Fatigue,Confusion,Ear Infection
Chest Pain,Runny Nose,Abdominal Pain,Sore Throat,Ear Pain,Muscle Pain,Blurred Vision,Unknown
Joint Pain,Diarrhea,Muscle Pain,Sweating,Runny Nose,Blurred Vision,Chills,Migraine
Sore Throat,Skin Redness,Difficulty Swallowing,Muscle Pain,Weakness,Fatigue,Cough,COVID-19
Muscle Pain,Sore Throat,Fatigue,Vomiting,Loss of Taste,Headache,Difficulty Swallowing,Unknown
Skin Redness,Confusion,Abdominal Pain,Chest Pain,Blurred Vision,Cough,Vomiting,Typhoid
Chills,Loss of Smell,Sore Throat,Loss of Taste,Ear Pain,Skin Redness,Skin Peeling,Unknown
Difficulty Swallowing,Confusion,Nausea,Headache,Cough,Shortness of Breath,Rash,Hypertension
Joint Pain,Ear Pain,Swollen Lymph Nodes,Cough,Fatigue,Dizziness,Chest Pain,Strep Throat
Dizziness,Diarrhea,Headache,Blurred Vision,Low Blood Pressure,Difficulty Swallowing,Ear Pain,Migraine
Fatigue,Fever,Loss of Smell,Abdominal Pain,Low Blood Pressure,Loss of Taste,Difficulty Swallowing,Meningitis
Chills,Fatigue,Low Blood Pressure,Headache,Difficulty Swallowing,Sore Throat,Rapid Heart Rate,Dengue
Diarrhea,Vomiting,Skin Redness,Ear Pain,Rapid Heart Rate,Fatigue,Weakness,COVID-19
Dizziness,Shortness of Breath,Low Blood Pressure,Nausea,High Blood Pressure,Weakness,Muscle Pain,Unknown
Cough,Chills,Nausea,Diarrhea,Muscle Pain,High Blood Pressure,Abdominal Pain,Migraine
Nausea,Low Blood Pressure,Loss of Taste,Muscle Pain,Headache,Blurred Vision,Loss of Smell,Unknown
Loss of Appetite,Fatigue,Rapid Heart Rate,Dizziness,Headache,Weakness,Chest Pain,Unknown
Abdominal Pain,Vomiting,Rash,Difficulty Swallowing,Nausea,Dizziness,Diarrhea,Unknown
Rapid Heart Rate,Fatigue,Chills,Runny Nose,Headache,Loss of Smell,Diarrhea,Meningitis
Swollen Lymph Nodes,Shortness of Breath,Low Blood Pressure,Sweating,Chills,Chest Pain,Cough,Strep Throat
Rash,Low Blood Pressure,Muscle Pain,Headache,Runny Nose,Abdominal Pain,Joint Pain,Migraine
Diarrhea,Joint Pain,Vomiting,Loss of Smell,Cough,Fever,Skin Peeling,Food Poisoning
Dizziness,Rapid Heart Rate,Ear Pain,Chills,High Blood Pressure,Muscle Pain,Loss of Taste,Hypertension
Shortness of Breath,Blurred Vision,Fatigue,Headache,Sore Throat,Vomiting,High Blood Pressure,Unknown
Cough,Joint Pain,Abdominal Pain,Headache,Chills,Weakness,Loss of Appetite,Meningitis
Swollen Lymph Nodes,Ear Pain,Rash,Difficulty Swallowing,Sore Throat,Fatigue,Skin Redness,Flu
Sweating,Nausea,Dizziness,Fatigue,Cough,Skin Peeling,Skin Redness,Migraine
Vomiting,Fever,Blurred Vision,Joint Pain,Swollen Lymph Nodes,Rash,Loss of Taste,Strep Throat
Runny Nose,Low Blood Pressure,Shortness of Breath,Chest Pain,Headache,Ear Pain,Loss of Taste,Unknown
Fever,Runny Nose,Headache,Chills,Diarrhea,Vomiting,Sore Throat,Typhoid
Loss of Smell,Fatigue,Dizziness,Chest Pain,Weakness,Ear Pain,Vomiting,Unknown
Joint Pain,Loss of Appetite,Runny Nose,Fever,Abdominal Pain,Skin Peeling,Confusion,Meningitis
Shortness of Breath,High Blood Pressure,Loss of Smell,Rapid Heart Rate,Runny Nose,Muscle Pain,Skin Peeling,Unknown
Joint Pain,Confusion,Loss of Taste,Weakness,Fatigue,Rash,Vomiting,Typhoid
Dizziness,Joint Pain,Chills,Skin Peeling,Difficulty Swallowing,Diarrhea,Swollen Lymph Nodes,Unknown
Chest Pain,Nausea,Difficulty Swallowing,Skin Peeling,Fatigue,Rapid Heart Rate,Diarrhea,Unknown
Weakness,Dizziness,Difficulty Swallowing,Chest Pain,Confusion,Abdominal Pain,Loss of Appetite,Meningitis
Shortness of Breath,Fever,Difficulty Swallowing,Sore Throat,Weakness,Fatigue,Joint Pain,Hypotension
Diarrhea,Muscle Pain,Sweating,Skin Redness,Ear Pain,Skin Peeling,Nausea,Scarlet Fever
Chest Pain,Skin Peeling,Loss of Appetite,Chills,Nausea,Fever,Difficulty Swallowing,Unknown
Rapid Heart Rate,Confusion,Abdominal Pain,Blurred Vision,High Blood Pressure,Vomiting,Low Blood Pressure,Unknown
Abdominal Pain,Rash,Skin Peeling,Nausea,Cough,Dizziness,Joint Pain,Food Poisoning
Shortness of Breath,Skin Peeling,Chest Pain,Chills,Rapid Heart Rate,Cough,Low Blood Pressure,Scarlet Fever
Sweating,Loss of Appetite,Fatigue,Blurred Vision,Ear Pain,Headache,Skin Peeling,Hypertension
Chest Pain,Sore Throat,High Blood Pressure,Fatigue,Rapid Heart Rate,Skin Redness,Ear Pain,Unknown
Chills,Muscle Pain,Skin Redness,Ear Pain,Loss of Taste,Shortness of Breath,Fever,Malaria
Muscle Pain,Rapid Heart Rate,Joint Pain,Fatigue,Skin Redness,Swollen Lymph Nodes,Abdominal Pain,Hypertension
Loss of Smell,Vomiting,Skin Peeling,Confusion,Nausea,Swollen Lymph Nodes,Difficulty Swallowing,Unknown
Runny Nose,Rash,Weakness,Shortness of Breath,Blurred Vision,Swollen Lymph Nodes,Vomiting,Unknown
Dizziness,Fever,Nausea,Confusion,Rash,Headache,Skin Peeling,COVID-19
High Blood Pressure,Swollen Lymph Nodes,Cough,Weakness,Rash,Abdominal Pain,Runny Nose,Malaria
Fatigue,Ear Pain,Confusion,Diarrhea,Blurred Vision,Weakness,Loss of Smell,Malaria
Dizziness,Fever,Abdominal Pain,Difficulty Swallowing,High Blood Pressure,Swollen Lymph Nodes,Ear Pain,Scarlet Fever
Sweating,Chest Pain,Nausea,Loss of Taste,Weakness,Muscle Pain,Blurred Vision,Food Poisoning
Joint Pain,Diarrhea,Chest Pain,Ear Pain,Chills,Swollen Lymph Nodes,Rash,Strep Throat
Skin Redness,Fatigue,Ear Pain,Fever,Runny Nose,Rapid Heart Rate,Weakness,Typhoid
Swollen Lymph Nodes,Rapid Heart Rate,Diarrhea,Skin Peeling,Confusion,Loss of Taste,Blurred Vision,Migraine
Loss of Appetite,Sweating,Headache,Cough,Fatigue,Vomiting,Muscle Pain,Typhoid
Low Blood Pressure,Rash,Chills,Chest Pain,Shortness of Breath,Muscle Pain,Joint Pain,Unknown
High Blood Pressure,Vomiting,Chest Pain,Loss of Taste,Loss of Appetite,Headache,Cough,Unknown
Low Blood Pressure,Blurred Vision,Skin Redness,Loss of Appetite,Vomiting,Chest Pain,Runny Nose,Cold
Chills,Difficulty Swallowing,Blurred Vision,Fever,Confusion,High Blood Pressure,Shortness of Breath,Migraine
Sore Throat,Fatigue,Muscle Pain,Swollen Lymph Nodes,Loss of Smell,Rash,Loss of Appetite,Strep Throat
Cough,Chills,Runny Nose,Loss of Smell,Confusion,High Blood Pressure,Muscle Pain,Unknown
Confusion,Swollen Lymph Nodes,Loss of Smell,Skin Redness,Headache,Runny Nose,Rash,Scarlet Fever
Shortness of Breath,Loss of Appetite,Skin Redness,Runny Nose,Blurred Vision,Headache,Low Blood Pressure,Ear Infection
Diarrhea,Loss of Appetite,Cough,Chills,Rapid Heart Rate,Sweating,Chest Pain,Unknown
Shortness of Breath,Fatigue,Rash,Abdominal Pain,Sweating,Swollen Lymph Nodes,Nausea,Typhoid
Low Blood Pressure,Shortness of Breath,Fever,Sore Throat,Fatigue,Joint Pain,Cough,Typhoid
Rash,Fever,Nausea,Cough,Sweating,Difficulty Swallowing,Fatigue,Strep Throat
Skin Peeling,Cough,Sore Throat,Muscle Pain,Loss of Appetite,Dizziness,Blurred Vision,Typhoid
Swollen Lymph Nodes,Vomiting,Difficulty Swallowing,Ear Pain,Abdominal Pain,Confusion,High Blood Pressure,Food Poisoning
Skin Peeling,Chest Pain,Shortness of Breath,Runny Nose,Loss of Taste,High Blood Pressure,Low Blood Pressure,Unknown
Fever,Runny Nose,Confusion,Skin Redness,Fatigue,Cough,Headache,Dengue
Difficulty Swallowing,Ear Pain,Fever,Sweating,Chills,Skin Peeling,Weakness,Malaria
Nausea,Weakness,Rash,Runny Nose,Loss of Smell,Cough,Ear Pain,COVID-19
Runny Nose,Chills,Shortness of Breath,Rash,Confusion,Nausea,Muscle Pain,COVID-19
Loss of Smell,High Blood Pressure,Headache,Abdominal Pain,Shortness of Breath,Confusion,Dizziness,Flu
Joint Pain,Ear Pain,Diarrhea,Low Blood Pressure,Loss of Appetite,Dizziness,Cough,Cold
Weakness,Vomiting,Sore Throat,Swollen Lymph Nodes,Blurred Vision,High Blood Pressure,Abdominal Pain,Food Poisoning
Fever,Ear Pain,Rapid Heart Rate,Fatigue,Swollen Lymph Nodes,Confusion,Dizziness,Flu
Confusion,Nausea,Vomiting,Diarrhea,Swollen Lymph Nodes,Loss of Smell,Blurred Vision,Unknown
Fatigue,Sweating,Low Blood Pressure,Skin Redness,Loss of Smell,Difficulty Swallowing,Abdominal Pain,Hypertension
High Blood Pressure,Rash,Skin Peeling,Muscle Pain,Nausea,Cough,Chest Pain,Migraine
Loss of Smell,Vomiting,Headache,Ear Pain,Rapid Heart Rate,Muscle Pain,Dizziness,Unknown
Headache,Dizziness,Skin Redness,Fatigue,Vomiting,High Blood Pressure,Cough,Migraine
Ear Pain,Shortness of Breath,Loss of Taste,Skin Redness,High Blood Pressure,Rash,Vomiting,COVID-19
Dizziness,Fatigue,Runny Nose,Muscle Pain,Weakness,Low Blood Pressure,Nausea,Hypertension
Swollen Lymph Nodes,Muscle Pain,Sore Throat,Fatigue,Cough,Chest Pain,Diarrhea,Food Poisoning
Sweating,Confusion,Muscle Pain,Shortness of Breath,Low Blood Pressure,Blurred Vision,Rash,Dengue
Low Blood Pressure,Sore Throat,Blurred Vision,Fever,Loss of Taste,Nausea,Loss of Smell,Ear Infection
Blurred Vision,Loss of Smell,Fatigue,Loss of Appetite,Rapid Heart Rate,Abdominal Pain,Skin Redness,Cold
Fatigue,Abdominal Pain,Skin Redness,Sweating,Vomiting,Loss of Taste,Ear Pain,Unknown
Shortness of Breath,Loss of Appetite,Weakness,Dizziness,Low Blood Pressure,Swollen Lymph Nodes,Vomiting,Unknown
Shortness of Breath,Sweating,Joint Pain,Rapid Heart Rate,Skin Redness,Diarrhea,Blurred Vision,Unknown
Abdominal Pain,Joint Pain,Shortness of Breath,Loss of Taste,Difficulty Swallowing,Fatigue,Chills,Strep Throat
Difficulty Swallowing,Chest Pain,Blurred Vision,Low Blood Pressure,Nausea,Fever,Abdominal Pain,Pneumonia
Loss of Smell,Nausea,Vomiting,Dizziness,Sweating,High Blood Pressure,Rash,Dengue
Skin Redness,Chest Pain,Fatigue,Confusion,Fever,Muscle Pain,Shortness of Breath,Scarlet Fever
Dizziness,Cough,Nausea,Shortness of Breath,Low Blood Pressure,Abdominal Pain,Fatigue,Cold
Runny Nose,Diarrhea,Rapid Heart Rate,Blurred Vision,Shortness of Breath,Vomiting,Sore Throat,Pneumonia
Dizziness,High Blood Pressure,Diarrhea,Ear Pain,Chest Pain,Fatigue,Rash,Cold
Runny Nose,Loss of Taste,Vomiting,Muscle Pain,Swollen Lymph Nodes,Diarrhea,Blurred Vision,Migraine
Fever,Sweating,Muscle Pain,Joint Pain,Shortness of Breath,Chest Pain,Vomiting,Unknown
Cough,Loss of Smell,Rapid Heart Rate,High Blood Pressure,Skin Redness,Difficulty Swallowing,Weakness,Unknown
Chills,Nausea,Chest Pain,Diarrhea,Loss of Appetite,Headache,Sweating,Flu
Loss of Appetite,Ear Pain,Fever,Fatigue,Runny Nose,Joint Pain,Weakness,Food Poisoning
Weakness,Joint Pain,Skin Redness,Rash,High Blood Pressure,Chills,Loss of Appetite,Typhoid
Shortness of Breath,Abdominal Pain,Chills,Dizziness,Rapid Heart Rate,Sore Throat,Loss of Smell,COVID-19
Loss of Taste,High Blood Pressure,Shortness of Breath,Fever,Ear Pain,Abdominal Pain,Joint Pain,Ear Infection
Fever,Cough,Rash,Swollen Lymph Nodes,Ear Pain,Blurred Vision,Muscle Pain,Strep Throat
Sore Throat,Muscle Pain,Vomiting,Nausea,Chills,Joint Pain,Ear Pain,Food Poisoning
Chest Pain,Confusion,Blurred Vision,Dizziness,Sore Throat,Diarrhea,Cough,Flu
Skin Redness,Fever,Loss of Smell,Sore Throat,Muscle Pain,Rapid Heart Rate,Cough,Strep Throat
Nausea,Weakness,Cough,Sweating,Swollen Lymph Nodes,Fatigue,Rapid Heart Rate,Food Poisoning
Fever,Rapid Heart Rate,Sore Throat,High Blood Pressure,Loss of Appetite,Loss of Taste,Headache,Malaria
Rash,Runny Nose,Diarrhea,Nausea,Sore Throat,Fever,Difficulty Swallowing,Scarlet Fever
Ear Pain,Fatigue,High Blood Pressure,Fever,Runny Nose,Rash,Weakness,Typhoid
Skin Redness,Rapid Heart Rate,Rash,Chest Pain,Muscle Pain,Blurred Vision,Swollen Lymph Nodes,Hypotension
Chest Pain,Loss of Smell,Low Blood Pressure,Swollen Lymph Nodes,Muscle Pain,Loss of Appetite,Fever,Pneumonia
Fatigue,Loss of Smell,Sore Throat,Cough,Loss of Appetite,Blurred Vision,Difficulty Swallowing,Cold
Runny Nose,Blurred Vision,Muscle Pain,Rash,Low Blood Pressure,Difficulty Swallowing,Vomiting,Unknown
Difficulty Swallowing,Chills,Abdominal Pain,Sweating,Rash,Sore Throat,Joint Pain,Cold
Muscle Pain,Sore Throat,Chills,Difficulty Swallowing,Sweating,Blurred Vision,Fatigue,Malaria
Fatigue,Swollen Lymph Nodes,Loss of Taste,Diarrhea,Headache,Muscle Pain,Ear Pain,Hypertension
High Blood Pressure,Dizziness,Fever,Ear Pain,Blurred Vision,Chest Pain,Nausea,Scarlet Fever
Chest Pain,Shortness of Breath,Loss of Taste,Rapid Heart Rate,Abdominal Pain,Joint Pain,Loss of Appetite,Unknown
Swollen Lymph Nodes,Rapid Heart Rate,Ear Pain,Muscle Pain,Nausea,Rash,Sore Throat,Unknown
Loss of Appetite,Rapid Heart Rate,Headache,High Blood Pressure,Rash,Runny Nose,Joint Pain,COVID-19
Runny Nose,Loss of Taste,Dizziness,Joint Pain,Weakness,Abdominal Pain,Chest Pain,Hypotension
Rash,Sore Throat,Chills,Diarrhea,Rapid Heart Rate,Low Blood Pressure,Loss of Appetite,Food Poisoning
Loss of Smell,Low Blood Pressure,Nausea,Dizziness,Blurred Vision,Rapid Heart Rate,Loss of Appetite,Unknown
Shortness of Breath,Fever,Muscle Pain,Headache,Cough,Loss of Taste,Abdominal Pain,Typhoid
Loss of Smell,Swollen Lymph Nodes,Skin Peeling,Rapid Heart Rate,High Blood Pressure,Sore Throat,Loss of Appetite,Cold
Blurred Vision,Joint Pain,Skin Redness,Abdominal Pain,Low Blood Pressure,Cough,Swollen Lymph Nodes,Scarlet Fever
Swollen Lymph Nodes,Abdominal Pain,Diarrhea,Difficulty Swallowing,Skin Redness,Chest Pain,High Blood Pressure,Unknown
Dizziness,Sore Throat,High Blood Pressure,Swollen Lymph Nodes,Weakness,Shortness of Breath,Loss of Taste,Hypertension
Headache,Diarrhea,High Blood Pressure,Joint Pain,Rapid Heart Rate,Cough,Skin Peeling,Hypertension
Blurred Vision,Diarrhea,Loss of Taste,Sweating,Chest Pain,Weakness,Ear Pain,Unknown
Swollen Lymph Nodes,Chills,Fever,Runny Nose,Shortness of Breath,Loss of Appetite,Skin Redness,Ear Infection
Loss of Taste,Vomiting,Chest Pain,Loss of Appetite,Chills,Dizziness,Weakness,Unknown
Confusion,Rapid Heart Rate,Joint Pain,Low Blood Pressure,Runny Nose,Sweating,Cough,Unknown
Swollen Lymph Nodes,Sore Throat,Blurred Vision,Weakness,Chest Pain,Chills,Dizziness,Hypertension
Sweating,Chills,Nausea,Swollen Lymph Nodes,Headache,Dizziness,Loss of Appetite,Hypotension
Difficulty Swallowing,Loss of Smell,Skin Peeling,Sore Throat,Runny Nose,High Blood Pressure,Weakness,Flu
Low Blood Pressure,Muscle Pain,Fever,Blurred Vision,Dizziness,Cough,Joint Pain,Hypotension
Low Blood Pressure,Fatigue,Runny Nose,Loss of Taste,Rapid Heart Rate,Ear Pain,Fever,COVID-19
Diarrhea,Difficulty Swallowing,Rapid Heart Rate,Muscle Pain,Chills,Shortness of Breath,Confusion,Unknown
Low Blood Pressure,Sore Throat,Skin Redness,Chest Pain,Rapid Heart Rate,Joint Pain,Abdominal Pain,Food Poisoning
Joint Pain,Rash,Low Blood Pressure,Skin Peeling,High Blood Pressure,Cough,Fever,Unknown
Nausea,Shortness of Breath,Skin Redness,Skin Peeling,Dizziness,Low Blood Pressure,Headache,Food Poisoning
Vomiting,Rapid Heart Rate,Sweating,Ear Pain,Blurred Vision,Loss of Smell,Muscle Pain,Malaria
High Blood Pressure,Difficulty Swallowing,Low Blood Pressure,Muscle Pain,Shortness of Breath,Chest Pain,Confusion,Hypertension
Muscle Pain,Fatigue,Blurred Vision,Headache,Diarrhea,Dizziness,Chest Pain,Food Poisoning
Cough,Difficulty Swallowing,Muscle Pain,Skin Redness,Loss of Smell,Diarrhea,Sore Throat,Flu
Abdominal Pain,Dizziness,Cough,Weakness,Diarrhea,Swollen Lymph Nodes,Blurred Vision,Unknown
Sore Throat,Abdominal Pain,Runny Nose,Rapid Heart Rate,Chest Pain,Low Blood Pressure,Skin Peeling,Unknown
Nausea,Vomiting,Weakness,Diarrhea,Abdominal Pain,Cough,Rapid Heart Rate,Unknown
Loss of Smell,Fever,Runny Nose,Sore Throat,Rapid Heart Rate,Muscle Pain,Confusion,Unknown
Vomiting,Blurred Vision,Sore Throat,Weakness,Fatigue,Runny Nose,Rash,Malaria
Headache,Sore Throat,Abdominal Pain,Vomiting,Loss of Taste,Weakness,Ear Pain,Strep Throat
Cough,Skin Peeling,High Blood Pressure,Muscle Pain,Diarrhea,Rash,Loss of Taste,Pneumonia
Loss of Smell,Fatigue,Skin Redness,Diarrhea,Loss of Taste,Loss of Appetite,Shortness of Breath,Unknown
Cough,Weakness,Sweating,Headache,Dizziness,Low Blood Pressure,Fatigue,Meningitis
Cough,Chills,Runny Nose,Blurred Vision,Fever,Loss of Smell,Weakness,Meningitis
Rapid Heart Rate,Loss of Appetite,Swollen Lymph Nodes,High Blood Pressure,Fever,Low Blood Pressure,Chills,Hypertension
Headache,Abdominal Pain,Fever,Skin Peeling,Cough,Ear Pain,Muscle Pain,COVID-19
High Blood Pressure,Joint Pain,Rapid Heart Rate,Runny Nose,Diarrhea,Chills,Sore Throat,Strep Throat
Confusion,Runny Nose,Chills,Sweating,Ear Pain,Skin Redness,Loss of Appetite,Unknown
Vomiting,Loss of Taste,Loss of Smell,Headache,Nausea,Blurred Vision,Joint Pain,Unknown
Vomiting,Chest Pain,Nausea,Joint Pain,Dizziness,Muscle Pain,Fever,Dengue
Loss of Appetite,Confusion,Sweating,Skin Redness,Swollen Lymph Nodes,Weakness,Shortness of Breath,Pneumonia
Muscle Pain,Dizziness,Low Blood Pressure,Swollen Lymph Nodes,Shortness of Breath,Headache,Fever,Pneumonia
Runny Nose,Sweating,Cough,Rash,Muscle Pain,Low Blood Pressure,Skin Redness,Unknown
Ear Pain,Rash,Chills,Rapid Heart Rate,Loss of Smell,Dizziness,Nausea,Food Poisoning
Runny Nose,Loss of Smell,Loss of Appetite,Nausea,Swollen Lymph Nodes,Rapid Heart Rate,Low Blood Pressure,Migraine
Rapid Heart Rate,Chest Pain,Shortness of Breath,High Blood Pressure,Cough,Skin Peeling,Fatigue,Unknown
Low Blood Pressure,Sore Throat,Shortness of Breath,Fever,Rash,Fatigue,Vomiting,Strep Throat
Nausea,Low Blood Pressure,Rash,Muscle Pain,Sore Throat,Abdominal Pain,Difficulty Swallowing,Meningitis
